Date,Open,High,Low,Close,Adj Close,Volume
3/11/2009,10.89,10.89,10.89,10.89,7.169451,0
3/12/2009,10.92,10.92,10.92,10.92,7.1892,0
3/13/2009,10.89,10.89,10.89,10.89,7.169451,0
3/16/2009,10.79,10.79,10.79,10.79,7.103616,0
3/17/2009,10.73,10.73,10.73,10.73,7.064112,0
3/18/2009,11.09,11.09,11.09,11.09,7.301121,0
3/19/2009,11.06,11.06,11.06,11.06,7.281375,0
3/20/2009,11.01,11.01,11.01,11.01,7.248454,0
3/23/2009,10.97,10.97,10.97,10.97,7.222122,0
3/24/2009,11,11,11,11,7.241868,0
3/25/2009,10.92,10.92,10.92,10.92,7.1892,0
3/26/2009,11.02,11.02,11.02,11.02,7.255037,0
3/27/2009,11.03,11.03,11.03,11.03,7.26162,0
3/30/2009,11.04,11.04,11.04,11.04,7.268202,0
3/31/2009,11.09,11.09,11.09,11.09,7.336341,0
4/1/2009,11.16,11.16,11.16,11.16,7.382648,0
4/2/2009,11.08,11.08,11.08,11.08,7.329728,0
4/3/2009,10.92,10.92,10.92,10.92,7.223881,0
4/6/2009,10.9,10.9,10.9,10.9,7.210649,0
4/7/2009,10.93,10.93,10.93,10.93,7.230497,0
4/8/2009,11.01,11.01,11.01,11.01,7.283417,0
4/9/2009,10.92,10.92,10.92,10.92,7.223881,0
4/13/2009,11.04,11.04,11.04,11.04,7.303267,0
4/14/2009,11.1,11.1,11.1,11.1,7.342957,0
4/15/2009,11.11,11.11,11.11,11.11,7.34957,0
4/16/2009,11.07,11.07,11.07,11.07,7.323111,0
4/17/2009,11.01,11.01,11.01,11.01,7.283417,0
4/20/2009,11.13,11.13,11.13,11.13,7.362802,0
4/21/2009,11.05,11.05,11.05,11.05,7.30988,0
4/22/2009,10.99,10.99,10.99,10.99,7.270187,0
4/23/2009,11.02,11.02,11.02,11.02,7.290035,0
4/24/2009,10.95,10.95,10.95,10.95,7.243727,0
4/27/2009,11.02,11.02,11.02,11.02,7.290035,0
4/28/2009,10.92,10.92,10.92,10.92,7.223881,0
4/29/2009,10.87,10.87,10.87,10.87,7.190807,0
4/30/2009,10.9,10.9,10.9,10.9,7.243971,0
5/1/2009,10.86,10.86,10.86,10.86,7.217386,0
5/4/2009,10.9,10.9,10.9,10.9,7.243971,0
5/5/2009,10.95,10.95,10.95,10.95,7.277203,0
5/6/2009,10.96,10.96,10.96,10.96,7.283845,0
5/7/2009,10.82,10.82,10.82,10.82,7.190807,0
5/8/2009,10.87,10.87,10.87,10.87,7.224033,0
5/11/2009,10.97,10.97,10.97,10.97,7.290495,0
5/12/2009,11,11,11,11,7.310428,0
5/13/2009,11.09,11.09,11.09,11.09,7.370239,0
5/14/2009,11.09,11.09,11.09,11.09,7.370239,0
5/15/2009,11.08,11.08,11.08,11.08,7.3636,0
5/18/2009,10.98,10.98,10.98,10.98,7.297139,0
5/19/2009,10.97,10.97,10.97,10.97,7.290495,0
5/20/2009,11.08,11.08,11.08,11.08,7.3636,0
5/21/2009,10.89,10.89,10.89,10.89,7.237327,0
5/22/2009,10.82,10.82,10.82,10.82,7.190807,0
5/26/2009,10.73,10.73,10.73,10.73,7.130991,0
5/27/2009,10.61,10.61,10.61,10.61,7.051242,0
5/28/2009,10.75,10.75,10.75,10.75,7.144285,0
5/29/2009,10.99,10.99,10.99,10.99,7.339288,0
6/1/2009,10.78,10.78,10.78,10.78,7.199045,0
6/2/2009,10.88,10.88,10.88,10.88,7.265827,0
6/3/2009,10.97,10.97,10.97,10.97,7.325928,0
6/4/2009,10.82,10.82,10.82,10.82,7.225759,0
6/5/2009,10.77,10.77,10.77,10.77,7.192365,0
6/8/2009,10.76,10.76,10.76,10.76,7.185689,0
6/9/2009,10.77,10.77,10.77,10.77,7.192365,0
6/10/2009,10.7,10.7,10.7,10.7,7.14562,0
6/11/2009,10.81,10.81,10.81,10.81,7.219077,0
6/12/2009,10.88,10.88,10.88,10.88,7.265827,0
6/15/2009,10.97,10.97,10.97,10.97,7.325928,0
6/16/2009,11.11,11.11,11.11,11.11,7.419426,0
6/17/2009,11.05,11.05,11.05,11.05,7.379354,0
6/18/2009,10.92,10.92,10.92,10.92,7.292537,0
