"date","close","volume"
"Aug-04-2011",10.86,152942800
"Aug-03-2011",11.65,127048200
"Aug-02-2011",11.85,96878160
"Aug-01-2011",12.35,73584780
"Jul-29-2011",12.21,68509520
"Jul-28-2011",12.32,69772350
"Jul-27-2011",12.37,113464800
"Jul-26-2011",12.94,108938000
"Jul-25-2011",13.17,45123660
"Jul-22-2011",13.31,26367890
"Jul-21-2011",13.28,43605750
"Jul-20-2011",13.08,33378190
"Jul-19-2011",13.09,53682920
"Jul-18-2011",12.9,65889700
"Jul-15-2011",13.09,41151920
"Jul-14-2011",13.09,45848790
"Jul-13-2011",13.27,44139690
"Jul-12-2011",13.12,57577990
"Jul-11-2011",13.32,61090340
"Jul-08-2011",13.88,68412940
"Jul-07-2011",14.12,66059430
"Jul-06-2011",13.96,46156950
"Jul-05-2011",14.1,46919300
"Jul-01-2011",14.02,66256550
"Jun-30-2011",13.79,73892170
"Jun-29-2011",13.42,54068770
"Jun-28-2011",13.33,53891370
"Jun-27-2011",13.46,49896590
"Jun-24-2011",13.24,82641330
"Jun-23-2011",13.47,59187050
"Jun-22-2011",13.36,42386690
"Jun-21-2011",13.32,72297450
"Jun-20-2011",12.94,46061990
"Jun-17-2011",12.77,75774530
"Jun-16-2011",12.83,87946490
"Jun-15-2011",13.15,84558200
"Jun-14-2011",13.43,61221950
"Jun-13-2011",13.14,110644200
"Jun-10-2011",13.35,96501910
"Jun-09-2011",13.8,55297730
"Jun-08-2011",13.7,76862110
"Jun-07-2011",13.95,72458530
"Jun-06-2011",13.91,53690200
"Jun-03-2011",14.01,57224830
"Jun-02-2011",14.18,58514600
"Jun-01-2011",14.23,91052530
"May-31-2011",14.92,66242160
"May-27-2011",14.6,35616950
"May-26-2011",14.56,45915410
"May-25-2011",14.58,93892390
"May-24-2011",14.66,48778160
"May-23-2011",14.8,49451140
"May-20-2011",15,39163360
"May-19-2011",15.12,38598230
"May-18-2011",15.12,41213710
"May-17-2011",14.97,65288490
"May-16-2011",15.13,51689050
"May-13-2011",15.08,43367010
"May-12-2011",15.26,48656950
"May-11-2011",15.15,55049090
"May-10-2011",15.15,36668270
"May-09-2011",15.08,32967180
"May-06-2011",15.11,58422920
"May-05-2011",15.08,62548640
"May-04-2011",15.15,71668000
"May-03-2011",15.38,68620320
"May-02-2011",15.45,42159010
"Apr-29-2011",15.47,40135270
"Apr-28-2011",15.5,48094370
"Apr-27-2011",15.58,84306240
"Apr-26-2011",15.66,166648000
"Apr-25-2011",15.54,54506000
"Apr-21-2011",15.43,53133450
"Apr-20-2011",15.09,70827830
"Apr-19-2011",14.66,33535580
"Apr-18-2011",14.62,49801110
"Apr-15-2011",14.71,47519680
"Apr-14-2011",14.81,62399610
"Apr-13-2011",14.98,58181520
"Apr-12-2011",14.91,82546150
"Apr-11-2011",14.86,85391920
"Apr-08-2011",15.33,51078400
"Apr-07-2011",15.53,51247850
"Apr-06-2011",15.73,62247650
"Apr-05-2011",15.79,72347470
"Apr-04-2011",15.55,99002900
"Apr-01-2011",15.16,116130100
"Mar-31-2011",14.91,41908610
"Mar-30-2011",14.86,40851250
"Mar-29-2011",14.84,33253990
"Mar-28-2011",14.86,41213630
"Mar-25-2011",15.01,58877420
"Mar-24-2011",15.04,128238600
"Mar-23-2011",14.31,64382030
"Mar-22-2011",14.34,44746000
"Mar-21-2011",14.59,46408400
"Mar-18-2011",14.49,64502890
"Mar-17-2011",14.26,78566250
"Mar-16-2011",14.18,127199700
"Mar-15-2011",14.67,108896400
"Mar-14-2011",14.3,65005580
