date,close,volume
"Fri, October 19, 2012",42.32,29747640
"Thu, October 18, 2012",43.01,23625850
"Wed, October 17, 2012",43.32,26176330
"Tue, October 16, 2012",42.83,28588410
"Mon, October 15, 2012",42.38,26255020
"Fri, October 12, 2012",41.62,44563450
"Thu, October 11, 2012",42.1,27653790
"Wed, October 10, 2012",41.77,25787100
"Tue, October 09, 2012",41.38,19947370
"Mon, October 08, 2012",41.66,18628970
"Fri, October 05, 2012",41.71,22772780
"Thu, October 04, 2012",41.82,24326170
"Wed, October 03, 2012",40.86,22364800
"Tue, October 02, 2012",40.92,26631080
"Mon, October 01, 2012",40.97,21878530
"Fri, September 28, 2012",40.48,21371070
"Thu, September 27, 2012",40.68,20818220
"Wed, September 26, 2012",40.24,23781930
"Tue, September 25, 2012",40.55,21950730
"Mon, September 24, 2012",41.23,20494070
"Fri, September 21, 2012",40.88,28280880
"Thu, September 20, 2012",41.25,20976240
"Wed, September 19, 2012",41.34,22845990
"Tue, September 18, 2012",41.26,25181710
"Mon, September 17, 2012",41.19,19738210
"Fri, September 14, 2012",41.57,43434880
"Thu, September 13, 2012",41.4,46986690
"Wed, September 12, 2012",39.92,29828330
"Tue, September 11, 2012",39.6,22354690
"Mon, September 10, 2012",38.76,20848210
"Fri, September 07, 2012",39.3,28035620
"Thu, September 06, 2012",38.69,41087420
"Wed, September 05, 2012",37.11,13287590
"Tue, September 04, 2012",37.01,13631390
"Fri, August 31, 2012",37.14,16769650
"Thu, August 30, 2012",36.9,13694820
"Wed, August 29, 2012",37.3,13680460
"Tue, August 28, 2012",37.13,18050480
"Mon, August 27, 2012",37.23,17617730
"Fri, August 24, 2012",37.17,20016510
"Thu, August 23, 2012",37.23,16394160
"Wed, August 22, 2012",37.83,16893300
"Tue, August 21, 2012",38.04,36777260
"Mon, August 20, 2012",37.37,17919070
"Fri, August 17, 2012",36.98,17079760
"Thu, August 16, 2012",37.1,15843270
"Wed, August 15, 2012",37.07,17475050
"Tue, August 14, 2012",37.1,18064200
"Mon, August 13, 2012",36.99,14452740
"Fri, August 10, 2012",36.97,15438490
"Thu, August 09, 2012",36.92,23190230
"Wed, August 08, 2012",37.16,18608630
"Tue, August 07, 2012",37.01,37071960
"Mon, August 06, 2012",36.3,18965420
"Fri, August 03, 2012",36.09,24429190
"Thu, August 02, 2012",35.17,36598900
"Wed, August 01, 2012",36,22181410
"Tue, July 31, 2012",36,19683270
"Mon, July 30, 2012",36.14,30696800
"Fri, July 27, 2012",36.89,63632790
"Thu, July 26, 2012",35.81,28814100
"Wed, July 25, 2012",35.17,32125300
"Tue, July 24, 2012",34.73,29914580
"Mon, July 23, 2012",34.44,41185060
"Fri, July 20, 2012",33.9,36237280
"Thu, July 19, 2012",34.46,34381160
"Wed, July 18, 2012",34.96,28936570
"Tue, July 17, 2012",34.99,43858620
"Mon, July 16, 2012",35.09,52333970
"Fri, July 13, 2012",36.07,82922740
"Thu, July 12, 2012",34.04,39183740
"Wed, July 11, 2012",34.59,35112740
"Tue, July 10, 2012",34.25,33148850
"Mon, July 09, 2012",33.96,30520580
"Fri, July 06, 2012",33.9,31972000
"Thu, July 05, 2012",34.38,58511520
"Tue, July 03, 2012",35.88,26705920
"Mon, July 02, 2012",36.28,34216770
"Fri, June 29, 2012",35.73,55977040
"Thu, June 28, 2012",35.88,69818520
"Wed, June 27, 2012",36.78,34113640
"Tue, June 26, 2012",35.71,34937460
"Mon, June 25, 2012",35.32,33070720
"Fri, June 22, 2012",35.99,44085560
"Thu, June 21, 2012",35.51,95409090
"Wed, June 20, 2012",36.45,60983440
"Tue, June 19, 2012",35.38,32461320
"Mon, June 18, 2012",34.62,31057180
"Fri, June 15, 2012",35.03,40756040
"Thu, June 14, 2012",34.65,44316870
"Wed, June 13, 2012",34.3,72432790
"Tue, June 12, 2012",33.77,43281090
"Mon, June 11, 2012",32.82,46380510
"Fri, June 08, 2012",33.68,34231600
"Thu, June 07, 2012",32.81,53803310
"Wed, June 06, 2012",33.07,47807240
"Tue, June 05, 2012",31.99,46348170
"Mon, June 04, 2012",31,60391170
"Fri, June 01, 2012",31.93,50423930
"Thu, May 31, 2012",33.15,42098230
"Wed, May 30, 2012",32.96,34139180
"Tue, May 29, 2012",33.63,35785900
"Fri, May 25, 2012",33.5,28786420
"Thu, May 24, 2012",33.97,37786440
"Wed, May 23, 2012",34.26,52185490
"Tue, May 22, 2012",34.01,84693880
"Mon, May 21, 2012",32.51,99508490
"Fri, May 18, 2012",33.49,82618140
"Thu, May 17, 2012",33.93,95296220
"Wed, May 16, 2012",35.46,68532550
