"date","close","volume"
"May 29, 2015",130.28,50474170
"May 28, 2015",131.78,30678840
"May 27, 2015",132.045,45771120
"May 26, 2015",129.62,70544670
"May 22, 2015",132.54,45469340
"May 21, 2015",131.39,39589780
"May 20, 2015",130.06,36261170
"May 19, 2015",130.07,44395440
"May 18, 2015",130.19,50723240
"May 15, 2015",128.77,38128470
"May 14, 2015",128.95,45123920
"May 13, 2015",126.01,34611600
"May 12, 2015",125.865,48073450
"May 11, 2015",126.32,41920740
"May 08, 2015",127.62,55473820
"May 07, 2015",125.26,42653920
"May 06, 2015",125.01,72037370
"May 05, 2015",125.8,49127770
"May 04, 2015",128.7,50905020
"May 01, 2015",128.95,57349000
"April 30, 2015",125.15,82924980
"April 29, 2015",128.64,63063240
"April 28, 2015",130.56,118693700
"April 27, 2015",132.65,95084260
"April 24, 2015",130.28,44209710
"April 23, 2015",129.67,45596690
"April 22, 2015",128.62,37575420
"April 21, 2015",126.91,32341380
"April 20, 2015",127.6,46975110
"April 17, 2015",124.75,51481310
"April 16, 2015",126.17,28020240
"April 15, 2015",126.78,28922420
"April 14, 2015",126.3,25418280
"April 13, 2015",126.85,36248620
"April 10, 2015",127.1,40125760
"April 09, 2015",126.56,32244360
"April 08, 2015",125.6,37272090
"April 07, 2015",126.01,34894810
"April 06, 2015",127.35,36917490
"April 02, 2015",125.32,32171410
"April 01, 2015",124.25,40463140
"March 31, 2015",124.43,42019420
"March 30, 2015",126.37,46974980
"March 27, 2015",123.25,39471720
"March 26, 2015",124.24,47409610
"March 25, 2015",123.38,51505600
"March 24, 2015",126.69,32747200
"March 23, 2015",127.21,37597600
"March 20, 2015",125.9,68516180
"March 19, 2015",127.495,45674520
"March 18, 2015",128.47,65118170
"March 17, 2015",127.04,50891230
"March 16, 2015",124.95,35816300
"March 13, 2015",123.59,51744670
"March 12, 2015",124.45,48233270
"March 11, 2015",122.24,68812690
"March 10, 2015",124.51,68720360
"March 09, 2015",127.14,88410240
"March 06, 2015",126.6,72699680
"March 05, 2015",126.41,56391280
"March 04, 2015",128.54,31588480
"March 03, 2015",129.36,37749900
"March 02, 2015",129.09,48042680
"February 27, 2015",128.46,61931350
"February 26, 2015",130.415,91171830
"February 25, 2015",128.79,74555120
"February 24, 2015",132.17,69109410
"February 23, 2015",133,73089250
"February 20, 2015",129.495,48878410
"February 19, 2015",128.45,37295460
"February 18, 2015",128.715,44695980
"February 17, 2015",127.83,63014110
"February 13, 2015",127.08,53955650
"February 12, 2015",126.46,74374630
"February 11, 2015",124.88,73278020
"February 10, 2015",122.02,61845390
"February 09, 2015",119.72,37900780
"February 06, 2015",118.93,43633660
"February 05, 2015",119.94,42197110
"February 04, 2015",119.56,69975180
"February 03, 2015",118.65,51842080
"February 02, 2015",118.63,62542440
"January 30, 2015",117.16,83646800
"January 29, 2015",118.9,84132130
"January 28, 2015",115.31,146184300
"January 27, 2015",109.14,92326640
"January 26, 2015",113.1,55457420
"January 23, 2015",112.98,46420020
"January 22, 2015",112.4,53717440
