"date","Stock","Close"
2013-01-31,"BND",83.45
2013-01-30,"BND",83.3
2013-01-29,"BND",83.39
2013-01-28,"BND",83.48
2013-01-25,"BND",83.58
2013-01-24,"BND",83.85
2013-01-23,"BND",83.97
2013-01-22,"BND",83.84
2013-01-18,"BND",83.92
2013-01-17,"BND",83.79
2013-01-16,"BND",83.93
2013-01-15,"BND",83.94
2013-01-14,"BND",83.83
2013-01-11,"BND",83.83
2013-01-10,"BND",83.77
2013-01-09,"BND",83.77
2013-01-08,"BND",83.8
2013-01-07,"BND",83.72
2013-01-04,"BND",83.78
2013-01-03,"BND",83.65
2013-01-02,"BND",83.9
2012-12-31,"BND",84.03
2012-12-28,"BND",84.11
2012-12-27,"BND",84.09
2012-12-26,"BND",84.0146
2012-12-24,"BND",83.95
2012-12-21,"BND",84.52
2012-12-20,"BND",84.4
2012-12-19,"BND",84.38
2012-12-18,"BND",84.2
2012-12-17,"BND",84.392
2012-12-14,"BND",84.54
2012-12-13,"BND",84.49
2012-12-12,"BND",84.66
2012-12-11,"BND",84.79
2012-12-10,"BND",84.86
2012-12-07,"BND",84.81
2012-12-06,"BND",84.97
2012-12-05,"BND",84.97
2012-12-04,"BND",84.91
2012-12-03,"BND",84.84
2012-11-30,"BND",84.94
2012-11-29,"BND",85
2012-11-28,"BND",84.95
2012-11-27,"BND",84.9
2012-11-26,"BND",84.73
2012-11-23,"BND",84.75
2012-11-21,"BND",84.73
2012-11-20,"BND",84.82
2012-11-19,"BND",84.95
2012-11-16,"BND",84.95
2012-11-15,"BND",84.99
2012-11-14,"BND",85
2012-11-13,"BND",85.02
2012-11-12,"BND",85.03
2012-11-09,"BND",84.9
2012-11-08,"BND",84.98
2012-11-07,"BND",84.85
2012-11-06,"BND",84.65
2012-11-05,"BND",84.92
2012-11-02,"BND",84.79
2012-11-01,"BND",84.7579
2012-10-31,"BND",84.89
2012-10-26,"BND",84.745
2012-10-25,"BND",84.57
2012-10-24,"BND",84.705
2012-10-23,"BND",84.75
2012-10-22,"BND",84.56
2012-10-19,"BND",84.68
2012-10-18,"BND",84.55
2012-10-17,"BND",84.59
2012-10-16,"BND",84.8
2012-10-15,"BND",84.97
2012-10-12,"BND",85
2012-10-11,"BND",84.94
2012-10-10,"BND",84.87
2012-10-09,"BND",84.74
2012-10-08,"BND",84.89
2012-10-05,"BND",84.78
2012-10-04,"BND",84.87
2012-10-03,"BND",85.01
2012-10-02,"BND",85.04
2012-10-01,"BND",85.04
2012-09-28,"BND",85.15
2012-09-27,"BND",85.07
2012-09-26,"BND",85.12
2012-09-25,"BND",84.98
2012-09-24,"BND",84.81
2012-09-21,"BND",84.725
2012-09-20,"BND",84.63
2012-09-19,"BND",84.61
2012-09-18,"BND",84.5
2012-09-17,"BND",84.4
2012-09-14,"BND",84.28
2012-09-13,"BND",84.7
2012-09-12,"BND",84.53
2012-09-11,"BND",84.65
2012-09-10,"BND",84.76
2012-09-07,"BND",84.74
2012-09-06,"BND",84.74
2012-09-05,"BND",84.94
2012-09-04,"BND",84.94
2012-08-31,"BND",85.18
2012-08-30,"BND",84.88
2012-08-29,"BND",84.81
2012-08-28,"BND",84.88
2012-08-27,"BND",84.85
2012-08-24,"BND",84.72
2012-08-23,"BND",84.72
2012-08-22,"BND",84.68
2012-08-21,"BND",84.34
2012-08-20,"BND",84.19
2012-08-17,"BND",84.23
2012-08-16,"BND",84.09
2012-08-15,"BND",84.18
2012-08-14,"BND",84.48
2012-08-13,"BND",84.69
2012-08-10,"BND",84.68
2012-08-09,"BND",84.58
2012-08-08,"BND",84.63
2012-08-07,"BND",84.65
2012-08-06,"BND",84.87
2012-08-03,"BND",84.79
2012-08-02,"BND",85.1
2012-08-01,"BND",84.94
2012-07-31,"BND",85.23
2012-07-30,"BND",85.14
2012-07-27,"BND",84.98
2012-07-26,"BND",85.3
2012-07-25,"BND",85.36
2012-07-24,"BND",85.3
2012-07-23,"BND",85.2
2012-07-20,"BND",85.16
2012-07-19,"BND",85
2012-07-18,"BND",85.02
2012-07-17,"BND",84.88
2012-07-16,"BND",84.91
2012-07-13,"BND",84.86
2012-07-12,"BND",84.85
2012-07-11,"BND",84.69
2012-07-10,"BND",84.81
2012-07-09,"BND",84.73
2012-07-06,"BND",84.57
2012-07-05,"BND",84.49
2012-07-03,"BND",84.25
