"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL","SOURCE","MLS.","FAVORITE","INTERESTED","LIST.DATE","ADDRESS","ZIP_CODE","LAT_LON","CITY_STATE","LOCATION","CITY","STATE","LATITUDE","LONGITUDE"
"PAST SALE","September-22-2017","Condo/Co-op",310000,2,2,1152,1152,2005,560,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-514/home/11281906","MRIS","AR10013805","N","Y","Tuesday- Sep 12, 2017","4500 Four Mile Run Dr S #514","'222040000","38.8541521&-77.1060381","Arlington, va","The Brittany","Arlington","VA","38.8541521","-77.1060381"
"PAST SALE","September-22-2017","Condo/Co-op",312500,1,1,851,851,1973,549,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4141-N-Henderson-Rd-22203/unit-804/home/11257352","MRIS","AR10014359","N","Y","Tuesday- Sep 12, 2017","4141 Henderson Rd #804","'222030000","38.8757817&-77.1093699","Arlington, va","Hyde Park","Arlington","VA","38.8757817","-77.1093699"
"PAST SALE","September-22-2017","Townhouse",464000,2,2.5,1296,1296,1981,358,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2119-N-Monroe-St-22207/unit-3/home/11233188","MRIS","AR10024098","N","Y","Tuesday- Sep 12, 2017","2119 Monroe St #3","'222070000","38.896489&-77.104132","Arlington, va","Maywood","Arlington","VA","38.896489","-77.104132"
"PAST SALE","September-13-2017","Condo/Co-op",1700000,2,2.5,1922,1922,2012,605,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1700-N-Clarendon-Blvd-22209/unit-117/home/49797926","MRIS","AR9983747","N","Y","Friday- Aug 25, 2017","1700 Clarendon Blvd #117","'222090000","38.8928825&-77.0779242","Arlington, va","Gaslight Square","Arlington","VA","38.8928825","-77.0779242"
"PAST SALE","September-15-2017","Single Family Residential",613000,2,1,1652,3572,1937,NA,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4020-20th-St-N-22207/home/11233933","MRIS","AR9989911","N","Y","Tuesday- Aug 29, 2017","4020 20th St N","'222070000","38.8944718&-77.10875","Arlington, va","Cherrydale","Arlington","VA","38.8944718","-77.10875"
"PAST SALE","","Condo/Co-op",365000,2,1,796,796,1987,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/2050-N-Calvert-St-22201/unit-408/home/11279735","","","N","Y",NA,"2050 N Calvert St Apt 408","'222010000","38.8974418&-77.0932656","Arlington, va","","Arlington","VA","38.8974418","-77.0932656"
"PAST SALE","September-14-2017","Condo/Co-op",2e+05,0,1,480,480,1964,362,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2030-N-Adams-St-22201/unit-1210/home/11247033","MRIS","AR10016081","N","Y","Sunday- Aug 27, 2017","2030 Adams St #1210","'222010000","38.8976118&-77.0896071","Arlington, va","Circle","Arlington","VA","38.8976118","-77.0896071"
"PAST SALE","September-7-2017","Condo/Co-op",325000,0,1,532,532,2006,323,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2001-15th-St-N-22201/unit-413/home/12041203","MRIS","AR9956988","N","Y","Sunday- Aug 13, 2017","2001 15th St N #413","'222010000","38.8911907&-77.0818047","Arlington, va","Odyssey","Arlington","VA","38.8911907","-77.0818047"
"PAST SALE","September-12-2017","Townhouse",295000,1,1,840,840,1939,328,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1110-S-Barton-St-22204/unit-309/home/11272883","MRIS","AR9994260","N","Y","Wednesday- Aug 23, 2017","1110 Barton St #309","'222040000","38.8615459&-77.08366","Arlington, va","Arlington Village","Arlington","VA","38.8615459","-77.08366"
"PAST SALE","September-22-2017","Condo/Co-op",460000,1,1,738,738,2007,349,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1020-N-Highland-St-22201/unit-707/home/16897789","MRIS","AR10029443","N","Y","Tuesday- Sep 12, 2017","1020 Highland St N #707","'222010000","38.8848595&-77.0951384","Arlington, va","The Pheonix","Arlington","VA","38.8848595","-77.0951384"
"PAST SALE","September-15-2017","Condo/Co-op",349000,2,1,904,904,1959,530,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/3000-Spout-Run-Pkwy-22201/unit-B601/home/11247275","MRIS","AR10003815","N","Y","Tuesday- Aug 29, 2017","3000 Spout Run Pkwy Unit B601","'222010000","38.896264&-77.0943045","Arlington, va","Cardinal House","Arlington","VA","38.896264","-77.0943045"
"PAST SALE","","Condo/Co-op",874900,2,2.5,1800,1800,2010,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/1811-14th-St-N-22209/unit-103/home/28681872","","","N","Y",NA,"1811 14th St N Apt 103","'222090000","38.8901561&-77.0795","Arlington, va","","Arlington","VA","38.8901561","-77.0795"
"PAST SALE","September-18-2017","Condo/Co-op",280000,2,1.5,962,962,1964,726,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2030-N-Adams-St-22201/unit-606/home/11246960","MRIS","AR10030734","N","Y","Monday- Sep 04, 2017","2030 Adams St N #606","'222010000","38.8976118&-77.0896071","Arlington, va","The Circle Condominium","Arlington","VA","38.8976118","-77.0896071"
"PAST SALE","September-15-2017","Townhouse",370000,2,1,1103,1103,1979,50,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/3121-17th-St-S-22204/home/11273756","MRIS","AR10029790","N","Y","Tuesday- Aug 29, 2017","3121 17th St S","'222040000","38.8558098&-77.0877377","Arlington, va","Laurel Place","Arlington","VA","38.8558098","-77.0877377"
"PAST SALE","","Condo/Co-op",385000,1,1,935,935,1987,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/1600-N-Oak-St-22209/unit-728/home/11251057","","","N","Y",NA,"1600 N Oak St Apt 728","'222090000","38.8925121&-77.0738352","Arlington, va","","Arlington","VA","38.8925121","-77.0738352"
"PAST SALE","","Condo/Co-op",380000,1,1,818,818,2006,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/2720-S-Arlington-Mill-Dr-22206/unit-306/home/12042353","","","N","Y",NA,"2720 S Arlington Mill Dr Unit 306","'222060000","38.8419412&-77.0899621","Arlington, va","","Arlington","VA","38.8419412","-77.0899621"
"PAST SALE","September-22-2017","Condo/Co-op",228000,1,1,826,826,1990,400,"Sold",NA,NA,"http://www.redfin.com/VA/Alexandria/3313-Wyndham-Cir-22302/unit-4205/home/11876786","MRIS","AX9987264","N","Y","Tuesday- Sep 12, 2017","3313 Wyndham Cir #4205","'223020000","38.8352728&-77.1010704","Alexandria, va","Pointe At Park C","Alexandria","VA","38.8352728","-77.1010704"
"PAST SALE","September-8-2017","Townhouse",388000,2,2,1383,1383,1944,387,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4805-28th-St-S-22206/home/11267825","MRIS","AR9922995","N","Y","Tuesday- Aug 15, 2017","4805 28th St S","'222060000","38.8419913&-77.1018333","Arlington, va","Fairlington Villages","Arlington","VA","38.8419913","-77.1018333"
"PAST SALE","September-15-2017","Condo/Co-op",315000,2,1,810,810,1950,287,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4646-28th-Rd-S-22206/unit-A/home/11267036","MRIS","AR10022166","N","Y","Tuesday- Aug 29, 2017","4646-A 28th Rd S Unit A","'222060000","38.8426595&-77.0985569","Arlington, va","The Arlington","Arlington","VA","38.8426595","-77.0985569"
"PAST SALE","September-22-2017","Condo/Co-op",382000,2,1,912,912,1983,335,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2600-S-Arlington-Mill-Dr-22206/unit-C/home/142975846","MRIS","AR10012478","N","Y","Tuesday- Sep 12, 2017","2600 Arlington Mill Dr S Unit C","'222060000","38.8439661&-77.0945237","Arlington, va","Windgate Of Arlington Iii","Arlington","VA","38.8439661","-77.0945237"
"PAST SALE","September-21-2017","Townhouse",415000,1,2,1400,1400,1940,320,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4323-35th-St-S-22206/home/11270394","MRIS","AR9998251","N","Y","Sunday- Sep 10, 2017","4323 35th St S","'222060000","38.8316574&-77.0888905","Arlington, va","Fairlington Mdws","Arlington","VA","38.8316574","-77.0888905"
"PAST SALE","September-15-2017","Condo/Co-op",320000,1,1,669,669,2006,323,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/3650-S-Glebe-Rd-22202/unit-148/home/16896939","MRIS","AR10029270","N","Y","Tuesday- Aug 29, 2017","3650 Glebe Rd #148","'222020000","38.8422531&-77.0506468","Arlington, va","Eclipse On Center Park Condo","Arlington","VA","38.8422531","-77.0506468"
"PAST SALE","September-15-2017","Condo/Co-op",527500,2,1.5,1232,1232,1979,395,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/706-15th-St-S-22202/unit-5-E-1/home/11275537","MRIS","AR9990339","N","Y","Tuesday- Aug 29, 2017","706 15th St S #1","'222020000","38.859284&-77.058402","Arlington, va","Southampton","Arlington","VA","38.859284","-77.058402"
"PAST SALE","September-19-2017","Townhouse",420000,2,2,2030,2030,1944,426,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2873-S-Abingdon-St-22206/unit-B1/home/11266819","MRIS","AR10038577","N","Y","Wednesday- Sep 06, 2017","2873 Abingdon St S Unit B1","'222060000","38.8407424&-77.0979322","Arlington, va","Fairlington","Arlington","VA","38.8407424","-77.0979322"
"PAST SALE","","Condo/Co-op",385000,1,2,1490,1490,1940,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/4437-36th-St-S-22206/unit-A1/home/11269816","","","N","Y",NA,"4437 36th St S Apt A1","'222060000","38.8317651&-77.0905349","Arlington, va","","Arlington","VA","38.8317651","-77.0905349"
"PAST SALE","","Condo/Co-op",1e+05,1,1,633,633,1967,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/3404-25th-St-S-22206/unit-41/home/11272309","","","N","Y",NA,"3404 25th St S Apt 41","'222060000","38.845243&-77.084441","Arlington, va","","Arlington","VA","38.845243","-77.084441"
"PAST SALE","September-13-2017","Condo/Co-op",402500,1,1,872,872,2006,371,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2200-N-Westmoreland-St-22213/unit-231/home/143216439","MRIS","AR10029873","N","Y","Friday- Aug 25, 2017","2200 Westmoreland St N #231","'222130000","38.8862777&-77.162736","Arlington, va","Westlee","Arlington","VA","38.8862777","-77.162736"
"PAST SALE","September-13-2017","Condo/Co-op",522000,2,2,1186,1186,2005,562,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1001-N-Vermont-St-22201/unit-607/home/11280175","MRIS","AR10002235","N","Y","Friday- Aug 25, 2017","1001 Vermont St N #607","'222010000","38.8828742&-77.1143324","Arlington, va","Westview","Arlington","VA","38.8828742","-77.1143324"
"PAST SALE","","Condo/Co-op",205000,2,2,960,960,1992,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1627/home/11246661","","","N","Y",NA,"900 N Taylor St Apt 1627","'222030000","38.8811585&-77.1133023","Arlington, va","","Arlington","VA","38.8811585","-77.1133023"
"PAST SALE","September-11-2017","Condo/Co-op",485000,1,1,839,839,2005,330,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1021-N-Garfield-St-22201/unit-429/home/11281285","MRIS","AR9978007","N","Y","Monday- Aug 21, 2017","1021 Garfield St #429","'222010000","38.8854624&-77.0932922","Arlington, va","Clarendon 1021","Arlington","VA","38.8854624","-77.0932922"
"PAST SALE","September-8-2017","Condo/Co-op",510000,2,2,1040,1040,2000,502,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/880-N-Pollard-St-22203/unit-925/home/11280667","MRIS","AR9952211","N","Y","Tuesday- Aug 15, 2017","880 Pollard St N #925","'222030000","38.8809516&-77.1069293","Arlington, va","Ballston 880","Arlington","VA","38.8809516","-77.1069293"
"PAST SALE","September-13-2017","Condo/Co-op",335000,2,1,935,935,1983,335,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2429-S-Walter-Reed-Dr-22206/unit-17-9/home/11267687","MRIS","AR10014298","N","Y","Friday- Aug 25, 2017","2429 Walter Reed Dr Unit 17-9","'222060000","38.844655&-77.0977723","Arlington, va","Heatherlea","Arlington","VA","38.844655","-77.0977723"
"PAST SALE","September-5-2017","Condo/Co-op",280000,2,1.5,1000,1000,1963,588,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4343-Lee-Hwy-22207/unit-305/home/11233382","MRIS","AR9934507","N","Y","Wednesday- Aug 09, 2017","4343 Lee Hwy #305","'222070000","38.8977863&-77.1149104","Arlington, va","Yorktown","Arlington","VA","38.8977863","-77.1149104"
"PAST SALE","September-20-2017","Townhouse",740000,2,3.5,2257,1618,1982,155,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1015-N-George-Mason-Dr-22205/home/11235861","MRIS","AR9998460","N","Y","Friday- Sep 08, 2017","1015 George Mason Dr","'222050000","38.8829629&-77.122272","Arlington, va","Westwind","Arlington","VA","38.8829629","-77.122272"
"PAST SALE","September-22-2017","Condo/Co-op",105000,1,1,887,887,1992,310,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1431/home/11246623","MRIS","AR9821741","N","Y","Tuesday- Sep 12, 2017","900 Taylor St #1431","'222030000","38.8811585&-77.1133023","Arlington, va","The Jefferson","Arlington","VA","38.8811585","-77.1133023"
"PAST SALE","","Condo/Co-op",402500,1,1,872,872,2006,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/2200-N-Westmoreland-St-22213/unit-231/home/12040687","","","N","Y",NA,"2200 N Westmoreland St Unit 231","'222130000","38.8862777&-77.162736","Arlington, va","","Arlington","VA","38.8862777","-77.162736"
"PAST SALE","September-6-2017","Townhouse",610000,2,2,1400,620,1984,100,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1109-N-Vernon-St-22201/home/11244216","MRIS","AR10015880","N","Y","Friday- Aug 11, 2017","1109 Vernon St","'222010000","38.884057&-77.115733","Arlington, va","Vernon Corner","Arlington","VA","38.884057","-77.115733"
"PAST SALE","September-14-2017","Condo/Co-op",225000,1,1,690,690,1965,474,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4201-Lee-Hwy-22207/unit-704/home/11233485","MRIS","AR9983011","N","Y","Sunday- Aug 27, 2017","4201 Lee Hwy #704","'222070000","38.8972373&-77.1124791","Arlington, va","Stoneridge Knoll","Arlington","VA","38.8972373","-77.1124791"
"PAST SALE","September-22-2017","Condo/Co-op",542000,2,2,1166,1166,2006,425,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2200-N-Westmoreland-St-22213/unit-417/home/12040737","MRIS","AR10035710","N","Y","Tuesday- Sep 12, 2017","2200 N Westmoreland St #417","'222130000","38.8862777&-77.162736","Arlington, va","Westlee Condo","Arlington","VA","38.8862777","-77.162736"
"PAST SALE","September-22-2017","Condo/Co-op",97000,1,1,634,634,1992,219,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1609/home/11246649","MRIS","AR9835714","N","Y","Tuesday- Sep 12, 2017","900 Taylor St #1609","'222030000","38.8811585&-77.1133023","Arlington, va","The Jefferson","Arlington","VA","38.8811585","-77.1133023"
"PAST SALE","September-21-2017","Condo/Co-op",210000,1,1,809,809,1965,584,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4201-Lee-Hwy-22207/unit-803/home/11233494","MRIS","AR10016108","N","Y","Sunday- Sep 10, 2017","4201 Lee Hwy #408","'222070000","38.8972373&-77.1124791","Arlington, va","Stone Ridge Knoll","Arlington","VA","38.8972373","-77.1124791"
"PAST SALE","","Single Family Residential",515000,2,1.5,1158,9438,1947,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/5220-11th-St-S-22204/home/11265151","","","N","Y",NA,"5220 11th St S","'222040000","38.8511847&-77.1156887","Arlington, va","","Arlington","VA","38.8511847","-77.1156887"
"PAST SALE","September-13-2017","Single Family Residential",6e+05,2,2,1058,6200,1953,NA,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/5933-1st-St-N-22203/home/11241400","MRIS","AR9987969","N","Y","Friday- Aug 25, 2017","5933 1st St N","'222030000","38.8673063&-77.135738","Arlington, va","Spy Hill Blvd Manor","Arlington","VA","38.8673063","-77.135738"
"PAST SALE","September-29-2017","Condo/Co-op",260000,1,1,758,758,1947,436,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1336-N-Ode-St-22209/unit-3/home/11251962","MRIS","AR9924134","N","Y","Tuesday- Sep 26, 2017","1336 Ode St #3","'222090000","38.8902222&-77.0760213","Arlington, va","Westmoreland Terrace","Arlington","VA","38.8902222","-77.0760213"
"PAST SALE","September-6-2017","Condo/Co-op",340000,1,1,721,721,1987,491,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2100-Lee-Hwy-22201/unit-321/home/11249870","MRIS","AR10026661","N","Y","Friday- Aug 11, 2017","2100 Lee Hwy #321","'222010000","38.8958533&-77.0836163","Arlington, va","Arlington","Arlington","VA","38.8958533","-77.0836163"
"PAST SALE","September-8-2017","Condo/Co-op",762000,2,2,947,947,2008,725,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2001/home/16898372","MRIS","AR9996535","N","Y","Tuesday- Aug 15, 2017","1111 19th St N #2001","'222090000","38.897304&-77.069227","Arlington, va","Waterview","Arlington","VA","38.897304","-77.069227"
"PAST SALE","September-8-2017","Condo/Co-op",762000,2,2,947,947,2008,725,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2001/home/16898372","MRIS","AR9996535","N","Y","Tuesday- Aug 15, 2017","1111 19th St N #2001","'222090000","38.897304&-77.069227","Arlington, VA","Waterview","Arlington","VA","38.897304","-77.069227"
"PAST SALE","September-22-2017","Condo/Co-op",139000,0,1,383,383,1955,313,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1021-Arlington-Blvd-22209/unit-1026/home/11254048","MRIS","AR9953400","N","Y","Tuesday- Sep 12, 2017","1021 Arlington Blvd #1026","'222090000","38.8930028&-77.0689457","Arlington, va","River Place","Arlington","VA","38.8930028","-77.0689457"
"PAST SALE","September-29-2017","Condo/Co-op",370000,2,2,834,834,2005,320,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/231-N-Thomas-St-22203/unit-304/home/11281556","MRIS","AR9972541","N","Y","Tuesday- Sep 26, 2017","231 Thomas St #304","'222030000","38.8718069&-77.1052714","Arlington, va","The Gatehouse Condo","Arlington","VA","38.8718069","-77.1052714"
"PAST SALE","September-20-2017","Townhouse",285000,2,1,756,756,1939,387,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2600-16th-St-S-22204/unit-714/home/11273051","MRIS","AR9938409","N","Y","Friday- Sep 08, 2017","2600 16th St S #714","'222040000","38.8572047&-77.0830238","Arlington, va","Arlington Village Courtyard","Arlington","VA","38.8572047","-77.0830238"
"PAST SALE","","Townhouse",452000,2,2.5,1315,1315,1984,NA,"",NA,NA,"http://www.redfin.com/VA/Arlington/4923-7th-Rd-S-22204/home/11259602","","","N","Y",NA,"4923 7th Rd S","'222040000","38.8598498&-77.115834","Arlington, va","","Arlington","VA","38.8598498","-77.115834"
"PAST SALE","September-19-2017","Condo/Co-op",430000,1,1,781,781,2006,370,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/820-N-Pollard-St-22203/unit-515/home/12040926","MRIS","AR10011387","N","Y","Wednesday- Sep 06, 2017","820 Pollard St #515","'222030000","38.8803547&-77.106745","Arlington, va","The Hawthorn","Arlington","VA","38.8803547","-77.106745"
"PAST SALE","September-29-2017","Condo/Co-op",250000,1,1,673,673,1983,335,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4512-28th-Rd-S-22206/unit-11-13/home/11267788","MRIS","AR9951569","N","Y","Tuesday- Sep 26, 2017","4512-C 28th Rd S Unit 11-13","'222060000","38.8447768&-77.0963392","Arlington, va","Heatherlea","Arlington","VA","38.8447768","-77.0963392"
"PAST SALE","September-29-2017","Condo/Co-op",330000,2,1,875,875,1950,325,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2657-S-Walter-Reed-Dr-22206/unit-B/home/11268024","MRIS","AR10039876","N","Y","Tuesday- Sep 26, 2017","2657 Walter Reed Dr Unit B","'222060000","38.8413406&-77.1047337","Arlington, va","The Arlington","Arlington","VA","38.8413406","-77.1047337"
"PAST SALE","September-28-2017","Townhouse",475000,2,2,1500,1500,1940,324,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4502-34th-St-S-22206/home/11269930","MRIS","AR10038344","N","Y","Sunday- Sep 24, 2017","4502 34th St S","'222060000","38.8339324&-77.0901395","Arlington, va","Fairlington Arbor","Arlington","VA","38.8339324","-77.0901395"
"PAST SALE","September-6-2017","Condo/Co-op",230000,2,2,981,981,1992,355,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1220/home/11246595","MRIS","AR10009989","N","Y","Friday- Aug 11, 2017","900 Taylor St #1220","'222030000","38.8811585&-77.1133023","Arlington, va","The Jefferson","Arlington","VA","38.8811585","-77.1133023"
"PAST SALE","September-18-2017","Condo/Co-op",874900,2,2.5,1800,1800,2010,513,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1811-14th-St-N-22209/unit-C103/home/142516545","MRIS","AR10005568","N","Y","Monday- Sep 04, 2017","1811 14th St N Unit C103","'222090000","38.8901561&-77.0795","Arlington, va","Rhodes Hill Square","Arlington","VA","38.8901561","-77.0795"
"PAST SALE","September-21-2017","Condo/Co-op",620000,2,2,1242,1242,2006,515,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/820-N-Pollard-St-22203/unit-408/home/12040904","MRIS","AR9964951","N","Y","Sunday- Sep 10, 2017","820 Pollard St N #408","'222030000","38.8803547&-77.106745","Arlington, va","The Hawthorn","Arlington","VA","38.8803547","-77.106745"
"PAST SALE","September-21-2017","Condo/Co-op",622500,2,2,965,965,2005,532,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1205-N-Garfield-St-22201/unit-405/home/11281042","MRIS","AR9977664","N","Y","Sunday- Sep 10, 2017","1205 Garfield St #405","'222010000","38.8869788&-77.0934489","Arlington, va","Station Square","Arlington","VA","38.8869788","-77.0934489"
"PAST SALE","September-26-2017","Condo/Co-op",465000,1,1,880,880,1986,582,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1530-Key-Blvd-22209/unit-411/home/11250437","MRIS","AR10036801","N","Y","Wednesday- Sep 20, 2017","1530 Key Blvd #411","'222090000","38.8957709&-77.0760286","Arlington, va","The Atrium","Arlington","VA","38.8957709","-77.0760286"
"PAST SALE","September-27-2017","Condo/Co-op",360000,1,1,721,721,1987,491,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2100-Lee-Hwy-22201/unit-234/home/11249836","MRIS","AR10022247","N","Y","Friday- Sep 22, 2017","2100 Lee Hwy #234","'222010000","38.8958533&-77.0836163","Arlington, va","Astoria","Arlington","VA","38.8958533","-77.0836163"
