"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL","SOURCE","MLS.","FAVORITE","INTERESTED","LIST.DATE","ADDRESS","ZIP_CODE","LAT_LON","CITY_STATE","LOCATION","CITY","STATE","LATITUDE","LONGITUDE","PROPERTY.SIZE","metro_distance","days_on_market"
"398","PAST SALE",2017-09-12,"Condo/Co-op",1620000,2,2,1417,1417,2004,1945,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/3303-Water-St-NW-20007/unit-5C/home/10344114","MRIS","DC9842974","N","Y",2017-08-23,"3303 Water St NW Unit 5C",20007,"38.9039772&-77.0665505","Washington, DC","Georgetown","Washington","DC",38.9039772,-77.0665505,1417,0.57282893056382,20
"399","PAST SALE",2017-09-07,"Condo/Co-op",840000,2,2,1461,1461,1985,1125,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1015-33rd-St-NW-20007/unit-710/home/9923058","MRIS","DC9834559","N","Y",2017-08-13,"1015 33rd St NW #710",20007,"38.9038172&-77.0656245","Washington, DC","Georgetown","Washington","DC",38.9038172,-77.0656245,1461,0.590730438857716,25
"400","PAST SALE",2017-09-12,"Condo/Co-op",282000,0,1,502,502,1973,527,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1301-20th-St-NW-20036/unit-517/home/9060215","MRIS","DC10024265","N","Y",2017-08-23,"1301 20th St NW #517",20036,"38.9075853&-77.0445591","Washington, DC","Central","Washington","DC",38.9075853,-77.0445591,502,0.239415530782761,20
"401","PAST SALE",NA,"Condo/Co-op",288000,0,1,510,510,1967,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/2201-L-St-NW-20037/unit-619/home/9050049",NA,NA,"N","Y",NA,"2201 L St NW Apt 619",20037,"38.9040361&-77.0492921","Washington, DC",NA,"Washington","DC",38.9040361,-77.0492921,510,0.209180805250076,NA
"402","PAST SALE",NA,"Condo/Co-op",190000,2,1,832,832,1942,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/119-33rd-St-NE-20019/home/10115912",NA,NA,"N","Y",NA,"119 33rd St NE",20019,"38.8911259&-76.9599863","Washington, DC",NA,"Washington","DC",38.8911259,-76.9599863,832,0.650645344971495,NA
"403","PAST SALE",2017-09-08,"Townhouse",680000,2,2.5,1066,1102,1915,NA,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/240-16th-St-SE-20003/home/9920345","MRIS","DC9948943","N","Y",2017-08-15,"240 16th St SE",20003,"38.8859017&-76.9819916","Washington, DC","Capitol Hill","Washington","DC",38.8859017,-76.9819916,1102,0.372760002892911,24
"404","PAST SALE",2017-09-08,"Townhouse",752000,2,2.5,1248,1186,1908,NA,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1415-Ames-Pl-NE-20002/home/9916694","MRIS","DC10016145","N","Y",2017-08-15,"1415 Ames Pl NE",20002,"38.8913345&-76.9847943","Washington, DC","Capitol Hill","Washington","DC",38.8913345,-76.9847943,1186,0.542833361371741,24
"405","PAST SALE",2017-09-07,"Townhouse",550000,2,1,952,850,1910,NA,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/209-17th-St-SE-20003/home/9920207","MRIS","DC10011237","N","Y",2017-08-13,"209 17th St SE",20003,"38.88725&-76.981026","Washington, DC","Capitol Hill","Washington","DC",38.88725,-76.981026,850,0.318892993672726,25
"406","PAST SALE",NA,"Multi-Family (2-4 Unit)",345000,2,2,1120,2242,1941,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1841-Corcoran-St-NE-20002/home/10094375",NA,NA,"N","Y",NA,"1841 Corcoran St NE",20002,"38.912043&-76.987033","Washington, DC",NA,"Washington","DC",38.912043,-76.987033,2242,0.772785703396799,NA
"407","PAST SALE",2017-09-12,"Townhouse",158650,2,2,810,2413,1945,NA,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/823-52nd-St-NE-20019/home/10127969","MRIS","DC10028505","N","Y",2017-08-23,"823 52nd St NE",20019,"38.9004959&-76.925699","Washington, DC","Deanwood","Washington","DC",38.9004959,-76.925699,2413,0.708381662026279,20
"408","PAST SALE",NA,"Condo/Co-op",117500,0,1,465,465,2016,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1500-Pennsylvania-Ave-SE-20003/unit-302/home/113745695",NA,NA,"N","Y",NA,"1500 Pennsylvania Ave SE Apt 302",20003,"38.879821&-76.983278","Washington, DC",NA,"Washington","DC",38.879821,-76.983278,465,0.156255425654519,NA
